Prices,Predict value,Status,IN&DEC
31440.58,31482.588878025213,Buy,84.01775605042712
31476.35,31479.469439012606,neutral,6.2388780252149445
31477.45,31478.459719506303,neutral,2.0194390126052895
31481.85,31480.15485975315,neutral,-3.3902804936951725
31475.09,31477.622429876574,neutral,5.064859753150813
31493.28,31485.451214938286,sell,-15.657570123425103
31484.45,31484.950607469145,neutral,1.0012149382855569
31510.25,31497.600303734573,sell,-25.299392530854675
31535.29,31516.445151867287,sell,-37.68969626542821
31536.26,31526.35257593364,sell,-19.81484813271163
31563.4,31544.87628796682,sell,-37.04742406636069
31551.37,31548.12314398341,neutral,-6.4937120331778715
31529.57,31538.846571991704,Buy,18.553143983408518
31498.01,31518.42828599585,Buy,40.83657199170557
31470.09,31494.259142997926,Buy,48.33828599585104
31443.19,31468.724571498962,Buy,51.069142997926974
31404.0,31436.36228574948,Buy,64.72457149896218
31428.77,31432.56614287474,neutral,7.592285749480652
31425.41,31428.988071437372,neutral,7.156142874740908
31439.88,31434.43403571869,neutral,-10.891928562628891
31434.1,31434.267017859343,neutral,0.33403571868984727
31433.47,31433.86850892967,neutral,0.7970178593423043
31382.79,31408.329254464836,Buy,51.078508929669624
31450.0,31429.164627232418,sell,-41.670745535164315
31407.43,31418.29731361621,Buy,21.73462723241755
31429.19,31423.743656808103,neutral,-10.892686383787805
31489.79,31456.766828404052,sell,-66.0463431918979
31450.41,31453.588414202026,neutral,6.356828404052067
31416.7,31435.144207101013,Buy,36.88841420202516
31477.95,31456.547103550507,sell,-42.80579289898742
31443.53,31450.03855177525,neutral,13.017103550508182
31454.66,31452.349275887624,neutral,-4.621448224748747
31413.38,31432.864637943814,Buy,38.96927588762264
31361.12,31396.992318971905,Buy,71.74463794381518
31328.3,31362.64615948595,Buy,68.69231897190548
31276.03,31319.338079742975,Buy,86.61615948595136
31277.21,31298.27403987149,Buy,42.12807974297539
31251.38,31274.827019935743,Buy,46.89403987148762
31243.86,31259.34350996787,Buy,30.967019935742428
31260.05,31259.696754983936,neutral,-0.7064900321274763
31199.97,31229.833377491967,Buy,59.72675498393437
31197.52,31213.67668874598,Buy,32.313377491966094
31199.97,31206.82334437299,neutral,13.7066887459805
31229.84,31218.331672186498,sell,-23.01665562700873
31210.02,31214.17583609325,neutral,8.311672186497162
31219.54,31216.857918046626,neutral,-5.364163906750036
31213.82,31215.338959023313,neutral,3.037918046626146
31234.94,31225.139479511658,sell,-19.60104097668591
31239.49,31232.314739755828,neutral,-14.350520488344046
31263.85,31248.082369877913,sell,-31.535260244170786
31261.27,31254.67618493896,neutral,-13.187630122087285
31285.01,31269.843092469477,sell,-30.333815061039786
31269.26,31269.55154623474,neutral,0.583092469478288
31287.1,31278.32577311737,sell,-17.548453765259183
31306.66,31292.492886558684,sell,-28.3342268826309
31287.51,31290.00144327934,neutral,4.982886558686005
31266.07,31278.03572163967,Buy,23.931443279339874
31314.5,31296.267860819833,sell,-36.464278360330354
31297.58,31296.923930409917,neutral,-1.3121391801687423
31290.38,31293.65196520496,neutral,6.543930409916356
31327.19,31310.42098260248,sell,-33.538034795037674
31351.76,31331.090491301242,sell,-41.33901739751673
31307.0,31319.04524565062,Buy,24.090491301241855
31344.8,31331.92262282531,sell,-25.754754349378345
31350.0,31340.961311412655,sell,-18.0773771746899
31432.84,31386.900655706326,sell,-91.8786885873451
31496.99,31441.945327853166,sell,-110.08934429367582
31472.17,31457.057663926582,sell,-30.224672146832745
31515.79,31486.423831963293,sell,-58.73233607341899
31553.85,31520.136915981646,sell,-67.42616803670535
31621.05,31570.59345799082,sell,-100.9130840183534
31603.74,31587.166728995413,sell,-33.14654200918085
31592.79,31589.978364497707,neutral,-5.6232710045878775
31586.38,31588.179182248852,neutral,3.5983644977059157
31581.35,31584.764591124425,neutral,6.829182248853613
31657.7,31621.232295562215,sell,-72.93540887557538
31659.49,31640.361147781106,sell,-38.25770443778674
31694.7,31667.53057389055,sell,-54.33885221889432
31753.34,31710.435286945278,sell,-85.8094261094484
31767.26,31738.84764347264,sell,-56.82471305472063
31763.1,31750.97382173632,sell,-24.252356527358643
31781.41,31766.19191086816,sell,-30.43617826368063
31768.41,31767.300955434082,neutral,-2.2180891318384965
31779.99,31773.645477717044,neutral,-12.689044565919176
