date,open,high,low,close
1613055240000,47800.21,47858.35,47795.86,47821.59
1613055300000,47824.01,47883.73,47814.77,47857.4
1613055360000,47857.41,47890.16,47816.93,47846.43
1613055420000,47846.42,47874.99,47834.3,47868.56
1613055480000,47868.56,47871.85,47814.89,47837.24
1613055540000,47833.35,47890.4,47833.35,47864.81
1613055600000,47864.81,48012.5,47864.8,48012.49
1613055660000,48012.72,48100.0,47942.81,48100.0
1613055720000,48100.0,48185.26,48084.59,48130.7
1613055780000,48128.03,48146.13,47962.75,48024.1
1613055840000,48026.12,48118.24,48016.66,48070.08
1613055900000,48070.08,48070.09,47902.3,47939.46
1613055960000,47939.46,47944.01,47825.11,47827.01
1613056020000,47827.01,47861.0,47800.0,47801.1
1613056080000,47800.4,47870.25,47758.84,47860.96
1613056140000,47863.36,47876.35,47736.6,47767.2
1613056200000,47767.2,47767.2,47623.52,47645.7
1613056260000,47645.7,47690.06,47576.58,47641.12
1613056320000,47641.58,47659.82,47600.0,47642.05
1613056380000,47642.05,47732.66,47642.05,47669.68
1613056440000,47669.45,47716.7,47659.87,47685.58
1613056500000,47685.59,47846.16,47685.59,47811.0
1613056560000,47811.01,47855.55,47750.0,47845.96
1613056620000,47845.96,47849.12,47785.99,47830.0
1613056680000,47830.0,47861.94,47817.92,47847.99
1613056740000,47847.99,48000.0,47847.98,47989.71
1613056800000,47994.21,48095.15,47994.21,48078.41
1613056860000,48078.41,48095.17,47718.36,47821.68
1613056920000,47813.11,47846.69,47765.04,47843.92
1613056980000,47836.05,47950.0,47815.6,47926.0
1613057040000,47926.49,47990.65,47888.29,47984.51
1613057100000,47982.78,47984.52,47843.63,47882.94
1613057160000,47885.18,47925.82,47863.39,47901.45
1613057220000,47901.45,47903.19,47858.35,47892.78
1613057280000,47892.78,47892.78,47780.0,47785.11
1613057340000,47785.1,47845.79,47750.0,47830.4
1613057400000,47830.41,47891.51,47809.04,47862.26
1613057460000,47867.03,47930.0,47867.03,47880.75
1613057520000,47880.0,48000.0,47877.29,47966.81
1613057580000,47966.8,47966.81,47776.92,47802.61
1613057640000,47802.61,47821.91,47700.0,47751.24
1613057700000,47751.23,47827.77,47736.99,47799.95
1613057760000,47799.96,47847.42,47772.72,47825.64
1613057820000,47825.64,47833.8,47784.07,47821.11
1613057880000,47820.92,47825.72,47750.96,47757.65
1613057940000,47763.82,47821.17,47751.0,47766.04
1613058000000,47767.02,47788.42,47726.73,47758.78
1613058060000,47758.78,47817.69,47750.0,47779.13
1613058120000,47779.13,47818.77,47763.92,47786.88
1613058180000,47791.43,47833.8,47780.53,47810.58
1613058240000,47810.58,47819.99,47775.01,47776.46
1613058300000,47775.7,47881.09,47775.7,47876.75
1613058360000,47874.41,47887.96,47827.86,47857.21
1613058420000,47854.19,47876.1,47838.77,47859.99
1613058480000,47859.99,47927.89,47849.0,47905.75
1613058540000,47905.74,47913.8,47874.18,47913.51
1613058600000,47913.52,47970.0,47900.01,47969.99
