Current Time,Actual Ammount,Actual_BTC,O_BTC_DV,Invest_Amount,Invest_BTc,New_BTC,New_Amount,Prediction,New_BTC_DV,Decision
16:55:24,10000.0,0.0,58706.58,0.0,0.0,0.0,0.0,None,0.0,None
16:55:24,10000.0,0.0,58706.58,0.0,0.0,0.0,10000.0,Neutral,58751.7,True
16:56:44,10000.0,0.0,58751.7,0.0,0.0,0.0,10000.0,Neutral,58758.52,True
16:58:04,10000.0,0.0,58758.52,0.0,0.0,0.0,10000.0,Neutral,58695.38,True
16:59:24,10000.0,0.0,58695.38,0.0,0.0,0.0,10000.0,Neutral,58673.18,True
17:00:44,10000.0,0.0,58673.18,0.0,0.0,0.0,10000.0,Neutral,58739.36,True
17:02:05,10000.0,0.0,58739.36,0.0,0.0,0.0,10000.0,Neutral,58856.71,True
17:03:25,10000.0,0.0,58856.71,0.0,0.0,0.0,10000.0,Neutral,59041.31,True
17:04:45,10000.0,0.0,59041.31,0.0,0.0,0.0,10000.0,Neutral,59048.76,True
17:06:05,10000.0,0.0,59048.76,0.0,0.0,0.0,10000.0,Neutral,59126.17,True
17:07:25,10000.0,0.0,59126.17,0.0,0.0,0.0,10000.0,Neutral,59186.71,True
17:08:45,10000.0,0.0,59186.71,0.0,0.0,0.0,10000.0,Neutral,59142.46,True
17:10:05,10000.0,0.0,59142.46,0.0,0.0,0.0,10000.0,Neutral,59104.58,True
17:11:25,10000.0,0.0,59104.58,0.0,0.0,0.0,10000.0,Neutral,59129.43,True
17:12:45,10000.0,0.0,59129.43,0.0,0.0,0.0,10000.0,Neutral,58954.03,True
17:14:06,10000.0,0.0,58954.03,0.0,0.0,0.0,10000.0,Neutral,58917.42,True
17:15:26,10000.0,0.0,58917.42,0.0,0.0,0.0,10000.0,Neutral,58954.98,True
17:16:46,10000.0,0.0,58954.98,0.0,0.0,0.0,10000.0,Neutral,58891.14,True
17:18:06,10000.0,0.0,58891.14,0.0,0.0,0.0,10000.0,Neutral,58941.58,True
17:19:26,10000.0,0.0,58941.58,0.0,0.0,0.0,10000.0,Neutral,58958.95,True
17:20:46,10000.0,0.0,58958.95,0.0,0.0,0.0,10000.0,Neutral,58954.41,True
17:22:06,10000.0,0.0,58954.41,0.0,0.0,0.0,10000.0,Neutral,58962.04,True
17:23:26,10000.0,0.0,58962.04,0.0,0.0,0.0,10000.0,Neutral,58997.96,True
17:24:46,10000.0,0.0,58997.96,0.0,0.0,0.0,10000.0,Neutral,59045.95,True
17:26:06,10000.0,0.0,59045.95,0.0,0.0,0.0,10000.0,Neutral,59103.82,True
17:27:27,10000.0,0.0,59103.82,0.0,0.0,0.0,10000.0,Neutral,59083.88,True
17:28:47,10000.0,0.0,59083.88,0.0,0.0,0.0,10000.0,Neutral,59112.2,True
17:30:07,10000.0,0.0,59112.2,0.0,0.0,0.0,10000.0,Neutral,59102.02,True
17:31:27,10000.0,0.0,59102.02,0.0,0.0,0.0,10000.0,Neutral,59137.04,True
17:32:47,10000.0,0.0,59137.04,0.0,0.0,0.0,10000.0,Neutral,59119.48,True
17:34:07,10000.0,0.0,59119.48,0.0,0.0,0.0,10000.0,Neutral,59043.28,True
17:35:27,10000.0,0.0,59043.28,0.0,0.0,0.0,10000.0,Neutral,59100.0,True
17:36:47,10000.0,0.0,59100.0,0.0,0.0,0.0,10000.0,Neutral,59068.34,True
17:38:07,10000.0,0.0,59068.34,0.0,0.0,0.0,10000.0,Neutral,59069.41,True
17:39:28,10000.0,0.0,59069.41,0.0,0.0,0.0,10000.0,Neutral,59002.86,True
17:40:48,10000.0,0.0,59002.86,0.0,0.0,0.0,10000.0,Neutral,58925.0,True
17:42:08,10000.0,0.0,58925.0,0.0,0.0,0.0,10000.0,Neutral,58968.86,True
17:43:28,10000.0,0.0,58968.86,0.0,0.0,0.0,10000.0,Neutral,58924.91,True
17:44:48,10000.0,0.0,58924.91,0.0,0.0,0.0,10000.0,Neutral,58945.0,True
17:46:08,10000.0,0.0,58945.0,0.0,0.0,0.0,10000.0,Neutral,58981.32,True
17:47:28,10000.0,0.0,58981.32,0.0,0.0,0.0,10000.0,Neutral,58970.23,True
17:48:48,10000.0,0.0,58970.23,0.0,0.0,0.0,10000.0,Neutral,58920.09,True
17:50:08,10000.0,0.0,58920.09,0.0,0.0,0.0,10000.0,Neutral,58764.24,True
17:51:28,10000.0,0.0,58764.24,0.0,0.0,0.0,10000.0,Neutral,58752.48,True
17:52:48,10000.0,0.0,58752.48,0.0,0.0,0.0,10000.0,Neutral,58868.99,True
17:54:09,10000.0,0.0,58868.99,0.0,0.0,0.0,10000.0,Neutral,58872.16,True
17:55:29,10000.0,0.0,58872.16,0.0,0.0,0.0,10000.0,Neutral,58814.87,True
17:56:49,10000.0,0.0,58814.87,0.0,0.0,0.0,10000.0,Neutral,58844.9,True
17:58:09,10000.0,0.0,58844.9,0.0,0.0,0.0,10000.0,Neutral,58848.44,True
17:59:29,10000.0,0.0,58848.44,0.0,0.0,0.0,10000.0,Neutral,58811.1,True
18:00:49,10000.0,0.0,58811.1,0.0,0.0,0.0,10000.0,Neutral,58842.48,True
18:02:09,10000.0,0.0,58842.48,0.0,0.0,0.0,10000.0,Neutral,58752.51,True
18:03:29,10000.0,0.0,58752.51,0.0,0.0,0.0,10000.0,Neutral,58571.14,True
18:04:49,10000.0,0.0,58571.14,0.0,0.0,0.0,10000.0,Neutral,58608.24,True
18:06:10,10000.0,0.0,58608.24,0.0,0.0,0.0,10000.0,Neutral,58603.67,True
18:07:30,10000.0,0.0,58603.67,0.0,0.0,0.0,10000.0,Neutral,58668.96,True
18:08:50,10000.0,0.0,58668.96,0.0,0.0,0.0,10000.0,Neutral,58521.16,True
18:10:10,10000.0,0.0,58521.16,0.0,0.0,0.0,10000.0,Neutral,58497.97,True
