Current Time,Actual Ammount,Actual_BTC,O_BTC_DV,Invest_Amount,Invest_BTc,New_BTC,New_Amount,Prediction,New_BTC_DV,Decision
11:39:29,18000,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,None
11:40:46,18000,0.0,0.0,0.0,0.0,0.0,18000,Sell,58022.76,False
11:42:50,18000,0.0,58022.76,0.0,0.0,0.0,18000,Neutral,58054.35,True
11:44:44,18000,0.0,58054.35,0.0,0.0,0.0,18000,Neutral,58054.35,True
11:46:38,18000,0.0,58054.35,0.0,0.0,0.0,18000,Neutral,58054.35,True
11:48:32,18000,0.0,58054.35,0.0,0.0,0.0,18000,Neutral,58054.35,True
11:50:26,18000,0.0,58054.35,0.0,0.0,0.0,18000,Neutral,58054.35,True
11:52:21,18000,0.0,58054.35,0.0,0.0,0.0,18000,Neutral,58054.35,True
11:54:16,18000,0.0,58054.35,0.0,0.0,0.0,18000,Neutral,58054.35,True
