Current Time,Actual Ammount,Actual_BTC,O_BTC_DV,Invest_Amount,Invest_BTc,New_BTC,New_Amount,Prediction,New_BTC_DV,Decision
10:04:52,10000.0,0.1,0.0,0.0,0.0,0.0,0.0,None,0.0,None
10:05:00,10000.0,0.1,0.0,0.0,0.0,0.1,10000.0,Neutral,52611.39,True
10:06:28,10000.0,0.1,52611.39,0.0,0.0,0.1,10000.0,Neutral,52562.21,True
10:07:57,10000.0,0.1,52562.21,0.0,0.0,0.1,10000.0,Neutral,52588.69,True
10:09:26,10000.0,0.1,52588.69,0.0,0.0,0.1,10000.0,Neutral,52660.63,True
10:10:56,11579.8189,0.07,52660.63,1579.8188999999998,-0.03,0.07,11579.8189,Sell,52655.9,True
10:12:24,12687.90784,0.049,52655.9,1108.08894,-0.021,0.049,12687.90784,Sell,52773.9,False
10:13:55,12687.90784,0.049,52773.9,0.0,0.0,0.049,12687.90784,Neutral,52813.85,True
10:15:25,12687.90784,0.049,52813.85,0.0,0.0,0.049,12687.90784,Neutral,52846.82,True
10:16:56,13464.756094,0.034300000000000004,52846.82,776.848254,-0.0147,0.034300000000000004,13464.756094,Sell,52800.0,True
10:18:27,14008.068094,0.024010000000000004,52800.0,543.312,-0.01029,0.024010000000000004,14008.068094,Sell,52795.14,True
10:19:58,14388.351487420001,0.016807000000000002,52795.14,380.28339342000004,-0.007203000000000001,0.016807000000000002,14388.351487420001,Sell,52791.1,True
10:21:30,14388.351487420001,0.016807000000000002,52791.1,0.0,0.0,0.016807000000000002,14388.351487420001,Neutral,52763.49,True
10:23:02,14388.351487420001,0.016807000000000002,52763.49,0.0,0.0,0.016807000000000002,14388.351487420001,Neutral,52700.01,True
10:24:35,14388.351487420001,0.016807000000000002,52700.01,0.0,0.0,0.016807000000000002,14388.351487420001,Neutral,52695.49,True
10:26:08,14654.047417549002,0.011764900000000002,52695.49,265.69593012900003,-0.005042100000000001,0.011764900000000002,14654.047417549002,Sell,52759.7,True
10:27:41,14840.261195908002,0.008235430000000002,52759.7,186.213778359,-0.0035294700000000003,0.008235430000000002,14840.261195908002,Sell,52786.89,True
10:29:15,14970.678017161812,0.005764801000000002,52786.89,130.41682125381004,-0.0024706290000000007,0.005764801000000002,14970.678017161812,Sell,52695.19,True
10:30:48,15061.81120236397,0.0040353607000000015,52695.19,91.13318520215702,-0.0017294403000000004,0.0040353607000000015,15061.81120236397,Sell,52708.77,True
10:32:23,15061.81120236397,0.0040353607000000015,52708.77,0.0,0.0,0.0040353607000000015,15061.81120236397,Neutral,52621.15,True
10:33:57,15125.514798573611,0.0028247524900000013,52621.15,63.703596209641525,-0.0012106082100000004,0.0028247524900000013,15125.514798573611,Sell,52632.09,True
